"","y2_statefips","y2_countyfips","n2","Year"
"1","01","001",4663,2005
"2","01","003",10413,2005
"3","01","005",1049,2005
"4","01","007",1046,2005
"5","01","009",2584,2005
"6","01","011",248,2005
"7","01","013",751,2005
"8","01","015",4217,2005
"9","01","017",1431,2005
"10","01","019",965,2005
"11","01","021",1647,2005
"12","01","023",352,2005
"13","01","025",789,2005
"14","01","027",477,2005
"15","01","029",640,2005
"16","01","031",3587,2005
"17","01","033",2165,2005
"18","01","035",465,2005
"19","01","037",661,2005
"20","01","039",1258,2005
"21","01","041",648,2005
"22","01","043",2978,2005
"23","01","045",4998,2005
"24","01","047",1218,2005
"25","01","049",2269,2005
"26","01","051",5514,2005
"27","01","053",1259,2005
"28","01","055",3492,2005
"29","01","057",622,2005
"30","01","059",1111,2005
"31","01","061",1253,2005
"32","01","063",330,2005
"33","01","065",700,2005
"34","01","067",906,2005
"35","01","069",4901,2005
"36","01","071",1704,2005
"37","01","073",21520,2005
"38","01","075",542,2005
"39","01","077",3165,2005
"40","01","079",1342,2005
"41","01","081",7896,2005
"42","01","083",3522,2005
"43","01","085",545,2005
"44","01","087",770,2005
"45","01","089",13798,2005
"46","01","091",701,2005
"47","01","093",1037,2005
"48","01","095",3685,2005
"49","01","097",9996,2005
"50","01","099",758,2005
"51","01","101",10865,2005
"52","01","103",4824,2005
"53","01","105",306,2005
"54","01","107",613,2005
"55","01","109",1335,2005
"56","01","111",872,2005
"57","01","113",3880,2005
"58","01","115",4634,2005
"59","01","117",13512,2005
"60","01","119",388,2005
"61","01","121",3248,2005
"62","01","123",1674,2005
"63","01","125",6681,2005
"64","01","127",2196,2005
"65","01","129",609,2005
"66","01","131",410,2005
"67","01","133",904,2005
"68","02","013",197,2005
"69","02","016",370,2005
"70","02","020",16338,2005
"71","02","050",514,2005
"72","02","060",100,2005
"73","02","068",209,2005
"74","02","070",215,2005
"75","02","090",7242,2005
"76","02","100",144,2005
"77","02","110",1493,2005
"78","02","122",2555,2005
"79","02","130",813,2005
"80","02","150",969,2005
"81","02","164",80,2005
"82","02","170",5803,2005
"83","02","180",363,2005
"84","02","185",199,2005
"85","02","188",257,2005
"86","02","201",253,2005
"87","02","220",605,2005
"88","02","232",197,2005
"89","02","240",766,2005
"90","02","261",651,2005
"91","02","270",174,2005
"92","02","280",306,2005
"93","02","282",39,2005
"94","02","290",285,2005
"95","04","001",5060,2005
"96","04","003",10112,2005
"97","04","005",8309,2005
"98","04","007",3026,2005
"99","04","009",1323,2005
"100","04","011",452,2005
"101","04","012",1135,2005
"102","04","013",160121,2005
"103","04","015",14134,2005
"104","04","017",6227,2005
"105","04","019",38038,2005
"106","04","021",21930,2005
"107","04","023",2004,2005
"108","04","025",14443,2005
"109","04","027",10118,2005
"110","05","001",763,2005
"111","05","003",686,2005
"112","05","005",2498,2005
"113","05","007",13972,2005
"114","05","009",2029,2005
"115","05","011",387,2005
"116","05","013",293,2005
"117","05","015",1476,2005
"118","05","017",500,2005
"119","05","019",1030,2005
"120","05","021",700,2005
"121","05","023",1336,2005
"122","05","025",487,2005
"123","05","027",794,2005
"124","05","029",963,2005
"125","05","031",4290,2005
"126","05","033",3412,2005
"127","05","035",2213,2005
"128","05","037",1024,2005
"129","05","039",329,2005
"130","05","041",475,2005
"131","05","043",929,2005
"132","05","045",5677,2005
"133","05","047",901,2005
"134","05","049",654,2005
"135","05","051",4837,2005
"136","05","053",959,2005
"137","05","055",1743,2005
"138","05","057",916,2005
"139","05","059",1563,2005
"140","05","061",701,2005
"141","05","063",1534,2005
"142","05","065",720,2005
"143","05","067",678,2005
