"","Year","y2_statefips","y2_countyfips","n2","pop_estimate","inflow_per_Capita","percentage_change","data_issue_inflow"
"1",2005,"01","001",4663,49676,0.093868266366052,NA,NA
"2",2006,"01","001",5095,51328,0.0992635598503741,5.74772891115553,0
"3",2007,"01","001",4830,52405,0.0921667779792005,-7.14943316748967,0
"4",2008,"01","001",4773,53277,0.0895883777239709,-2.79753758540999,0
"5",2009,"01","001",4499,54135,0.0831070471968228,-7.23456623706001,0
"6",2010,"01","001",4293,54773,0.0783780329724499,-5.69026861605742,0
"7",2011,"01","001",4596,55227,0.0832201640501928,6.1779186005407,0
"8",2012,"01","001",4618,54954,0.0840339192779416,0.977834202847665,0
"9",2013,"01","001",4627,54727,0.0845469329581377,0.610484057633115,0
"10",2014,"01","001",4342,54893,0.0790993387134972,-6.44327837100585,0
"11",2015,"01","001",2941,54864,0.0536052785068533,-32.2304340608775,0
"12",2016,"01","001",4326,55243,0.0783085639809569,46.0836808653933,0
"13",2017,"01","001",5702,55390,0.10294276945297,31.4578689988537,0
"14",2018,"01","001",4386,55533,0.0789800659067581,-23.2776946584473,0
"15",2019,"01","001",4307,55869,0.0770910522830192,-2.39175999924975,0
"16",2020,"01","001",4909,58902,0.0833418220094394,8.10829472591989,0
"17",2021,"01","001",4587,59210,0.0774700219557507,-7.04544238668509,0
"18",2005,"01","003",10413,162183,0.0642052496254231,NA,NA
"19",2006,"01","003",10747,168121,0.0639241974530249,-0.437740175511968,0
"20",2007,"01","003",9213,172404,0.0534384353031252,-16.4034318265868,0
"21",2008,"01","003",9444,175827,0.053711887252811,0.511713990379112,0
"22",2009,"01","003",9299,179406,0.05183215722997,-3.49965365021244,0
"23",2010,"01","003",9517,183112,0.0519736554676919,0.272993148045319,0
"24",2011,"01","003",9918,186558,0.0531630913710481,2.28853616828168,0
"25",2012,"01","003",11518,190145,0.0605748244760577,13.9415013571726,0
"26",2013,"01","003",12340,194885,0.0633193934884676,4.53087406550324,0
"27",2014,"01","003",12068,199183,0.0605874999372436,-4.31446575956462,0
"28",2015,"01","003",8342,202939,0.0411059480927766,-32.1544078640742,0
