"","y2_statefips","y2_countyfips","y1_countyname","Inflow","Year","Outflow"
"1",1,0,"Total Migration-US and Foreign",238230,2011,242428
"2",2,0,"Total Migration-US and Foreign",48011,2011,51987
"3",4,0,"Total Migration-US and Foreign",279663,2011,259848
"4",5,0,"Total Migration-US and Foreign",154676,2011,155871
"5",6,0,"Total Migration-US and Foreign",1382729,2011,1402630
"6",8,0,"Total Migration-US and Foreign",383294,2011,362591
"7",9,0,"Total Migration-US and Foreign",113294,2011,125382
"8",10,0,"Total Migration-US and Foreign",36956,2011,35274
"9",11,0,"Total Migration-US and Foreign",40693,2011,42957
"10",12,0,"Total Migration-US and Foreign",1188743,2011,1145257
"11",13,0,"Total Migration-US and Foreign",755182,2011,756135
"12",15,0,"Total Migration-US and Foreign",59225,2011,60335
"13",16,0,"Total Migration-US and Foreign",92417,2011,91979
"14",17,0,"Total Migration-US and Foreign",461760,2011,514088
"15",18,0,"Total Migration-US and Foreign",303053,2011,308745
"16",19,0,"Total Migration-US and Foreign",134512,2011,135537
"17",20,0,"Total Migration-US and Foreign",165993,2011,173311
"18",21,0,"Total Migration-US and Foreign",212029,2011,214300
"19",22,0,"Total Migration-US and Foreign",230436,2011,231482
"20",23,0,"Total Migration-US and Foreign",51704,2011,51208
"21",24,0,"Total Migration-US and Foreign",295444,2011,299770
"22",25,0,"Total Migration-US and Foreign",244970,2011,255286
"23",26,0,"Total Migration-US and Foreign",410282,2011,427467
"24",27,0,"Total Migration-US and Foreign",274367,2011,280067
"25",28,0,"Total Migration-US and Foreign",165765,2011,170695
"26",29,0,"Total Migration-US and Foreign",314763,2011,322490
"27",30,0,"Total Migration-US and Foreign",54101,2011,50926
"28",31,0,"Total Migration-US and Foreign",91974,2011,92807
"29",32,0,"Total Migration-US and Foreign",130320,2011,119367
"30",33,0,"Total Migration-US and Foreign",62369,2011,62286
"31",34,0,"Total Migration-US and Foreign",355362,2011,389758
"32",35,0,"Total Migration-US and Foreign",100094,2011,108325
"33",36,0,"Total Migration-US and Foreign",706879,2011,805962
"34",37,0,"Total Migration-US and Foreign",550366,2011,523384
"35",38,0,"Total Migration-US and Foreign",48764,2011,38891
"36",39,0,"Total Migration-US and Foreign",430480,2011,452300
"37",40,0,"Total Migration-US and Foreign",228036,2011,221091
"38",41,0,"Total Migration-US and Foreign",197084,2011,190745
"39",42,0,"Total Migration-US and Foreign",430725,2011,445678
"40",44,0,"Total Migration-US and Foreign",37189,2011,41306
"41",45,0,"Total Migration-US and Foreign",263535,2011,241989
"42",46,0,"Total Migration-US and Foreign",54980,2011,51481
"43",47,0,"Total Migration-US and Foreign",347805,2011,328220
"44",48,0,"Total Migration-US and Foreign",1439141,2011,1320474
"45",49,0,"Total Migration-US and Foreign",144435,2011,148572
"46",50,0,"Total Migration-US and Foreign",26456,2011,27705
"47",51,0,"Total Migration-US and Foreign",581514,2011,578338
"48",53,0,"Total Migration-US and Foreign",346658,2011,335154
"49",54,0,"Total Migration-US and Foreign",73595,2011,73643
"50",55,0,"Total Migration-US and Foreign",228843,2011,234752
"51",56,0,"Total Migration-US and Foreign",40253,2011,36967
"52",1,0,"Total Migration-US and Foreign",233989,2012,232403
"53",2,0,"Total Migration-US and Foreign",48507,2012,56740
"54",4,0,"Total Migration-US and Foreign",287689,2012,271140
"55",5,0,"Total Migration-US and Foreign",155428,2012,157082
"56",6,0,"Total Migration-US and Foreign",1408715,2012,1456186
"57",8,0,"Total Migration-US and Foreign",413288,2012,386744
"58",9,0,"Total Migration-US and Foreign",117387,2012,132840
"59",10,0,"Total Migration-US and Foreign",39103,2012,34519
"60",11,0,"Total Migration-US and Foreign",41696,2012,45093
"61",12,0,"Total Migration-US and Foreign",1186571,2012,1112477
"62",13,0,"Total Migration-US and Foreign",743016,2012,734923
"63",15,0,"Total Migration-US and Foreign",62696,2012,64916
"64",16,0,"Total Migration-US and Foreign",98500,2012,91760
"65",17,0,"Total Migration-US and Foreign",476712,2012,545655
"66",18,0,"Total Migration-US and Foreign",314129,2012,313888
"67",19,0,"Total Migration-US and Foreign",140014,2012,139350
"68",20,0,"Total Migration-US and Foreign",153903,2012,163698
"69",21,0,"Total Migration-US and Foreign",215677,2012,220017
"70",22,0,"Total Migration-US and Foreign",232127,2012,236245
"71",23,0,"Total Migration-US and Foreign",53882,2012,52677
"72",24,0,"Total Migration-US and Foreign",305565,2012,316533
"73",25,0,"Total Migration-US and Foreign",258122,2012,270037
"74",26,0,"Total Migration-US and Foreign",419332,2012,433118
"75",27,0,"Total Migration-US and Foreign",286395,2012,290659
"76",28,0,"Total Migration-US and Foreign",160449,2012,166994
"77",29,0,"Total Migration-US and Foreign",321435,2012,324566
"78",30,0,"Total Migration-US and Foreign",56998,2012,52282
"79",31,0,"Total Migration-US and Foreign",94302,2012,95663
"80",32,0,"Total Migration-US and Foreign",135858,2012,122901
"81",33,0,"Total Migration-US and Foreign",66603,2012,63874
"82",34,0,"Total Migration-US and Foreign",366277,2012,402157
"83",35,0,"Total Migration-US and Foreign",101993,2012,111096
"84",36,0,"Total Migration-US and Foreign",700373,2012,815302
"85",37,0,"Total Migration-US and Foreign",572545,2012,546338
"86",38,0,"Total Migration-US and Foreign",52155,2012,43535
"87",39,0,"Total Migration-US and Foreign",453759,2012,467534
