"","y1_statefips","y1_countyfips","n2","Year"
"1","01","001",3903,2004
"2","01","003",6236,2004
"3","01","005",1206,2004
"4","01","007",896,2004
"5","01","009",2208,2004
"6","01","011",368,2004
"7","01","013",689,2004
"8","01","015",4199,2004
"9","01","017",1497,2004
"10","01","019",859,2004
"11","01","021",1432,2004
"12","01","023",585,2004
"13","01","025",973,2004
"14","01","027",539,2004
"15","01","029",652,2004
"16","01","031",3272,2004
"17","01","033",2146,2004
"18","01","035",567,2004
"19","01","037",744,2004
"20","01","039",1064,2004
"21","01","041",587,2004
"22","01","043",2550,2004
"23","01","045",5687,2004
"24","01","047",1587,2004
"25","01","049",2291,2004
"26","01","051",3976,2004
"27","01","053",1446,2004
"28","01","055",3454,2004
"29","01","057",548,2004
"30","01","059",1114,2004
"31","01","061",1141,2004
"32","01","063",378,2004
"33","01","065",628,2004
"34","01","067",837,2004
"35","01","069",4266,2004
"36","01","071",1809,2004
"37","01","073",24875,2004
"38","01","075",591,2004
"39","01","077",3104,2004
"40","01","079",1291,2004
"41","01","081",6262,2004
"42","01","083",2567,2004
"43","01","085",649,2004
"44","01","087",1019,2004
"45","01","089",11159,2004
"46","01","091",826,2004
"47","01","093",1019,2004
"48","01","095",3430,2004
"49","01","097",10879,2004
"50","01","099",797,2004
"51","01","101",12144,2004
"52","01","103",4561,2004
"53","01","105",463,2004
"54","01","107",717,2004
"55","01","109",1278,2004
"56","01","111",789,2004
"57","01","113",3756,2004
"58","01","115",3095,2004
"59","01","117",9766,2004
"60","01","119",603,2004
"61","01","121",3166,2004
"62","01","123",1679,2004
"63","01","125",6026,2004
"64","01","127",1929,2004
"65","01","129",667,2004
"66","01","131",453,2004
"67","01","133",889,2004
"68","02","013",184,2004
"69","02","016",476,2004
"70","02","020",18532,2004
"71","02","050",654,2004
"72","02","060",90,2004
"73","02","068",295,2004
"74","02","070",272,2004
"75","02","090",7908,2004
"76","02","100",130,2004
"77","02","110",1906,2004
"78","02","122",2605,2004
"79","02","130",865,2004
