"","Year","y1_statefips","y1_countyfips","n2","pop_estimate","outflow_per_Capita","percentage_change","data_issue_outflow"
"1",2004,"01","001",3903,48366,0.0806971839722119,NA,0
"2",2005,"01","001",4214,49676,0.0848296964328851,5.12101198239612,0
"3",2006,"01","001",4155,51328,0.0809499688279302,-4.57354884916328,0
"4",2007,"01","001",4247,52405,0.0810418853162866,0.113547280730665,0
"5",2008,"01","001",4231,53277,0.0794151322334215,-2.00729915958427,0
"6",2009,"01","001",3767,54135,0.0695852960192112,-12.3777873785035,0
"7",2010,"01","001",4233,54773,0.077282602742227,11.0616856769434,0
"8",2011,"01","001",4776,55227,0.086479439404639,11.9002677654215,0
"9",2012,"01","001",4236,54954,0.0770826509444262,-10.8659220329182,0
"10",2013,"01","001",4352,54727,0.0795219909733769,3.164577241524,0
"11",2014,"01","001",2605,54893,0.0474559597762921,-40.3234763171614,0
"12",2015,"01","001",3928,54864,0.0715952172645086,50.866651105592,0
"13",2016,"01","001",5428,55243,0.0982567927158192,37.2393247342338,0
"14",2017,"01","001",4179,55390,0.075446831558043,-23.2146404612939,0
"15",2018,"01","001",3960,55533,0.0713089514342823,-5.48449820663083,0
"16",2019,"01","001",4336,55869,0.0776101236821851,8.83643935461582,0
"17",2020,"01","001",4141,58902,0.070303215510509,-9.41489051299294,0
"18",2004,"01","003",6236,156266,0.039906313593488,NA,0
"19",2005,"01","003",6917,162183,0.0426493528914868,6.87369754555921,0
"20",2006,"01","003",6780,168121,0.0403280970253567,-5.44265201874466,0
"21",2007,"01","003",7325,172404,0.0424874132850746,5.35437181268474,0
"22",2008,"01","003",6868,175827,0.0390611225807185,-8.0642487726116,0
"23",2009,"01","003",6709,179406,0.0373956277939422,-4.26381700457948,0
"24",2010,"01","003",7430,183112,0.0405762593385469,8.50535672814645,0
"25",2011,"01","003",8728,186558,0.0467843780486498,15.2998793168823,0
"26",2012,"01","003",8609,190145,0.0452759735990954,-3.22416266384,0
"27",2013,"01","003",8113,194885,0.041629679041486,-8.05348680051858,0
"28",2014,"01","003",6178,199183,0.0310167032327056,-25.4937728398147,0
"29",2015,"01","003",8023,202939,0.0395340471767378,27.4605069408251,0
"30",2016,"01","003",10091,207601,0.0486076656663504,22.9514029996694,0
"31",2017,"01","003",8640,212521,0.0406548058780073,-16.3613283611119,0
"32",2018,"01","003",8083,217855,0.0371026600261642,-8.73733320115231,0
"33",2019,"01","003",9137,223234,0.0409301450495892,10.3159315820643,0
"34",2020,"01","003",9327,233219,0.0399924534450452,-2.29095597733148,0
"35",2004,"01","005",1206,28287,0.0426344257079224,NA,0
"36",2005,"01","005",1196,28027,0.042673136618261,0.0907973068613429,0
"37",2006,"01","005",1135,27861,0.040737949104483,-4.53490806426889,0
"38",2007,"01","005",1243,27757,0.0447814965594265,9.92575115790137,0
"39",2008,"01","005",1149,27808,0.0413190448791715,-7.73188023240851,0
"40",2009,"01","005",1171,27657,0.0423400947318943,2.47113614486649,0
"41",2010,"01","005",1112,27327,0.0406923555457972,-3.89167571903389,0
"42",2011,"01","005",1599,27341,0.0584835960645185,43.721333602077,0
"43",2012,"01","005",1386,27169,0.051014023335419,-12.7720818002694,0
"44",2013,"01","005",1197,26937,0.0444370197126629,-12.8925405069742,0
"45",2014,"01","005",879,26755,0.0328536722108017,-26.0668865211056,0
"46",2015,"01","005",1129,26283,0.0429555225811361,30.7480098587368,0
"47",2016,"01","005",1192,25806,0.0461908083391459,7.53171085719864,0
"48",2017,"01","005",914,25157,0.0363318360694836,-21.3440132878276,0
"49",2018,"01","005",839,24872,0.0337327114827919,-7.15384871196983,0
"50",2019,"01","005",808,24686,0.0327311026492749,-2.9692508828647,0
"51",2020,"01","005",842,24960,0.0337339743589744,3.06397166158922,0
"52",2004,"01","007",896,21721,0.0412504028359652,NA,0
"53",2005,"01","007",982,22042,0.044551311133291,8.00212378640776,0
"54",2006,"01","007",921,22099,0.0416760939409023,-6.45372070821094,0
"55",2007,"01","007",1048,22438,0.0467064800784384,12.0701957929869,0
"56",2008,"01","007",1038,22705,0.0457168024664171,-2.11892998650128,0
"57",2009,"01","007",977,22941,0.0425875070833878,-6.84495680844696,0
"58",2010,"01","007",996,22870,0.0435505028421513,2.2612165508488,0
"59",2011,"01","007",1184,22745,0.0520553967905034,19.5288076906439,0
"60",2012,"01","007",1016,22667,0.0448228702519081,-13.8939033885432,0
"61",2013,"01","007",888,22521,0.039429865458905,-12.0318149254921,0
"62",2014,"01","007",706,22553,0.0313040393739192,-20.6083028445907,0
"63",2015,"01","007",848,22566,0.0375786581582912,20.0441186181221,0
"64",2016,"01","007",1080,22586,0.0478172319135748,27.2457140756755,0
"65",2017,"01","007",954,22550,0.0423059866962306,-11.5256467110126,0
"66",2018,"01","007",803,22367,0.03590110430545,-15.1394232612267,0
"67",2019,"01","007",900,22394,0.0401893364294007,11.9445688563395,0
"68",2020,"01","007",779,22183,0.0351169814722986,-12.6211463232605,0
"69",2004,"01","009",2208,54124,0.0407952109969699,NA,0
"70",2005,"01","009",2251,54624,0.0412089923842999,1.01428912173233,0
"71",2006,"01","009",2215,55485,0.0399206992880959,-3.12624265157931,0
"72",2007,"01","009",2292,56240,0.0407539118065434,2.0871691460975,0
"73",2008,"01","009",2486,57055,0.0435719919376041,6.91487026923442,0
"74",2009,"01","009",2293,57341,0.0399888387018015,-8.22352404942539,0
"75",2010,"01","009",2267,57376,0.0395112939208031,-1.19419517170642,0
"76",2011,"01","009",2808,57560,0.0487838776928423,23.4681855537943,0
"77",2012,"01","009",2689,57580,0.0467002431399792,-4.27115401933046,0
"78",2013,"01","009",2411,57619,0.0418438362345754,-10.3991041135422,0
"79",2014,"01","009",1960,57526,0.0340715502555366,-18.5745062557543,0
"80",2015,"01","009",2257,57526,0.0392344331258909,15.1530612244898,0
"81",2016,"01","009",2758,57494,0.0479702229797892,22.2656201655008,0
"82",2017,"01","009",2459,57787,0.042552823299358,-11.2932551568786,0
"83",2018,"01","009",2184,57771,0.0378044347509996,-11.1588096398529,0
"84",2019,"01","009",2673,57826,0.0462248815411753,22.2737010767049,0
"85",2020,"01","009",2342,59102,0.0396264085817739,-14.2747211878168,0
"86",2004,"01","011",368,11056,0.0332850940665702,NA,0
"87",2005,"01","011",381,11011,0.0346017618744891,3.95572806640001,0
"88",2006,"01","011",363,10776,0.0336859688195991,-2.64666596519534,0
"89",2007,"01","011",451,11011,0.040959040959041,21.5908058883266,0
"90",2008,"01","011",374,10953,0.0341458961015247,-16.6340439082287,0
"91",2009,"01","011",382,10987,0.0347683626103577,1.82296140942455,0
"92",2010,"01","011",446,10876,0.0410077234277308,17.9455123823241,0
"93",2011,"01","011",543,10675,0.0508665105386417,24.0412934121675,0
"94",2012,"01","011",497,10606,0.0468602677729587,-7.87599291411894,0
"95",2013,"01","011",421,10549,0.0399089961133757,-14.8340416944744,0
"96",2014,"01","011",387,10663,0.0362937259683016,-9.0587849787141,0
"97",2015,"01","011",370,10400,0.0355769230769231,-1.97500496919102,0
"98",2016,"01","011",427,10389,0.0411011646934257,15.5275980571967,0
"99",2017,"01","011",373,10176,0.0366548742138365,-10.8179184525651,0
"100",2018,"01","011",355,10174,0.0348928641635542,-4.80702795487209,0
